Opcode	Instruction	64-bit Mode	Compat/32-bit-Legacy Mode	Description
0F 96	SETNA r/m8	V	V	Set byte if not above (CF=1 or ZF=1).
REX+ 0F 96	SETNA r/m8	V	NE	Set byte if not above (CF=1 or ZF=1).
0F 92	SETNAE r/m8	V	V	Set byte if not above or equal (CF=1).
REX+ 0F 92	SETNAE r/m8	V	NE	Set byte if not above or equal (CF=1).
0F 93	SETNB r/m8	V	V	Set byte if not below (CF=0).
REX+ 0F 93	SETNB r/m8	V	NE	Set byte if not below (CF=0).
0F 97	SETNBE r/m8	V	V	Set byte if not below or equal (CF=0 and ZF=0).
REX+ 0F 97	SETNBE r/m8	V	NE	Set byte if not below or equal (CF=0 and ZF=0).
0F 93	SETNC r/m8	V	V	Set byte if not carry (CF=0).
REX+ 0F 93	SETNC r/m8	V	NE	Set byte if not carry (CF=0).
0F 95	SETNE r/m8	V	V	Set byte if not equal (ZF=0).
REX+ 0F 95	SETNE r/m8	V	NE	Set byte if not equal (ZF=0).
0F 9E	SETNG r/m8	V	V	Set byte if not greater (ZF=1 or SF!= OF)
REX+ 0F 9E	SETNG r/m8	V	NE	Set byte if not greater (ZF=1 or SF!= OF)
0F 9C	SETNGE r/m8	V	V	Set byte if not greater or equal (SF!= OF).
REX+ 0F 9C	SETNGE r/m8	V	NE	Set byte if not greater or equal (SF!= OF).
0F 9D	SETNL r/m8	V	V	Set byte if not less (SF=OF).
REX+ 0F 9D	SETNL r/m8	V	NE	Set byte if not less (SF=OF).
0F 9F	SETNLE r/m8	V	V	Set byte if not less or equal (ZF=0 and SF=OF).
REX+ 0F 9F	SETNLE r/m8	V	NE	Set byte if not less or equal (ZF=0 and SF=OF).
0F 91	SETNO r/m8	V	V	Set byte if not overflow (OF=0).
REX+ 0F 91	SETNO r/m8	V	NE	Set byte if not overflow (OF=0).
0F 9B	SETNP r/m8	V	V	Set byte if not parity (PF=0).
REX+ 0F 9B	SETNP r/m8	V	NE	Set byte if not parity (PF=0).
0F 99	SETNS r/m8	V	V	Set byte if not sign (SF=0).
REX+ 0F 99	SETNS r/m8	V	NE	Set byte if not sign (SF=0).
0F 95	SETNZ r/m8	V	V	Set byte if not zero (ZF=0).
REX+ 0F 95	SETNZ r/m8	V	NE	Set byte if not zero (ZF=0).
0F 90	SETO r/m8	V	V	Set byte if overflow (OF=1)
REX+ 0F 90	SETO r/m8	V	NE	Set byte if overflow (OF=1)
0F 9A	SETP r/m8	V	V	Set byte if parity (PF=1).
REX+ 0F 9A	SETP r/m8	V	NE	Set byte if parity (PF=1).
0F 9A	SETPE r/m8	V	V	Set byte if parity even (PF=1).
REX+ 0F 9A	SETPE r/m8	V	NE	Set byte if parity even (PF=1).
0F 9B	SETPO r/m8	V	V	Set byte if parity odd (PF=0).
REX+ 0F 9B	SETPO r/m8	V	NE	Set byte if parity odd (PF=0).
0F 98	SETS r/m8	V	V	Set byte if sign (SF=1).
REX+ 0F 98	SETS r/m8	V	NE	Set byte if sign (SF=1).
0F 94	SETZ r/m8	V	V	Set byte if zero (ZF=1).
REX+ 0F 94	SETZ r/m8	V	NE	Set byte if zero (ZF=1).
				
0F AE /7	SFENCE	V	V	Serializes store operations.
				
0F 01 /0	SGDT m	V	V	Store GDTR to m.
				
0F A4	SHLD r/m16, r16, imm8	V	V	Shift r/m16 to left imm8 places while shifting bits from r16 in from the right.
0F A5	SHLD r/m16, r16, CL	V	V	Shift r/m16 to left CL places while shifting bits from r16 in from the right.
0F A4	SHLD r/m32, r32, imm8	V	V	Shift r/m32 to left imm8 places while shifting bits from r32 in from the right.
REX.W+ 0F A4 	SHLD r/m64, r64, imm8	V	NE	Shift r/m64 to left imm8 places while shifting bits from r64 in from the right.
0F A5	SHLD r/m32, r32, CL	V	V	Shift r/m32 to left CL places while shifting bits from r32 in from the right.
REX.W+ 0F A5	SHLD r/m64, r64, CL	V	NE	Shift r/m64 to left CL places while shifting bits from r64 in from the right.
				
0F AC	SHRD r/m16, r16, imm8	V	V	Shift r/m16 to right imm8 places while shifting bits from r16 in from the left.
0F AD	SHRD r/m16, r16, CL	V	V	Shift r/m16 to right CL places while shifting bits from r16 in from the left.
0F AC	SHRD r/m32, r32, imm8	V	V	Shift r/m32 to right imm8 places while shifting bits from r32 in from the left.
REX.W+ 0F AC	SHRD r/m64, r64, imm8	V	NE	Shift r/m64 to right imm8 places while shifting bits from r64 in from the left.
0F AD	SHRD r/m32, r32, CL	V	V	Shift r/m32 to right CL places while shifting bits from r32 in from the left.
REX.W+ 0F AD	SHRD r/m64, r64, CL	V	NE	Shift r/m64 to right CL places while shifting bits from r64 in from the left.
				
66 0F C6 /r ib	SHUFPD xmm1, xmm2/m128, imm8	V	V	Shuffle packed double-precision floating- point values selected by imm8 from xmm1 and xmm2/m128 to xmm1.
VEX.NDS.128.66.0F.WIG C6 /r ib	VSHUFPD xmm1, xmm2, xmm3/m128, imm8	V	V	Shuffle Packed double-precision floating- point values selected by imm8 from xmm2 and xmm3/mem.
VEX.NDS.256.66.0F.WIG C6 /r ib	VSHUFPD ymm1, ymm2, ymm3/m256, imm8	V	V	Shuffle Packed double-precision floating- point values selected by imm8 from ymm2 and ymm3/mem.
				
0F C6 /r ib	SHUFPS xmm1, xmm2/m128, imm8	V	V	Shuffle packed single-precision floating-point values selected by imm8 from xmm1 and xmm1/m128 to xmm1.
VEX.NDS.128.0F.WIG C6 /r ib	VSHUFPS xmm1, xmm2, xmm3/m128, imm8	V	V	Shuffle Packed single-precision floating-point values selected by imm8 from xmm2 and xmm3/mem.
VEX.NDS.256.0F.WIG C6 /r ib	VSHUFPS ymm1, ymm2, ymm3/m256, imm8	V	V	Shuffle Packed single-precision floating-point values selected by imm8 from ymm2 and ymm3/mem.
				
0F 01 /1	SIDT m	V	V	Store IDTR to m.
				
0F 00 /0	SLDT r/m16	V	V	Stores segment selector from LDTR in r/m16.
REX.W+ 0F 00 /0	SLDT r64/m16	V	V	Stores segment selector from LDTR in r64/m16.
				
0F 01 /4	SMSW r/m16	V	V	Store machine status word to r/m16.
0F 01 /4	SMSW r32/m16	V	V	Store machine status word in low-order 16 bits of r32/m16; high-order 16 bits of r32 are undefined.
REX.W+ 0F 01 /4	SMSW r64/m16	V	V	Store machine status word in low-order 16 bits of r64/m16; high-order 16 bits of r32 are undefined.
				
66 0F 51 /r	SQRTPD xmm1, xmm2/m128	V	V	Computes square roots of the packed double- precision floating-point values in xmm2/m128 and stores the results in xmm1.
VEX.128.66.0F.WIG 51 /r	VSQRTPD xmm1, xmm2/m128	V	V	Computes Square Roots of the packed double- precision floating-point values in xmm2/m128 and stores the result in xmm1.
VEX.256.66.0F.WIG 51 /r	VSQRTPD ymm1, ymm2/m256	V	V	Computes Square Roots of the packed double- precision floating-point values in ymm2/m256 and stores the result in ymm1
				
0F 51 /r	SQRTPS xmm1, xmm2/m128	V	V	Computes square roots of the packed single- precision floating-point values in xmm2/m128 and stores the results in xmm1.
VEX.128.0F.WIG 51 /r	VSQRTPS xmm1, xmm2/m128	V	V	Computes Square Roots of the packed single- precision floating-point values in xmm2/m128 and stores the result in xmm1.
VEX.256.0F.WIG 51 /r	VSQRTPS ymm1, ymm2/m256	V	V	Computes Square Roots of the packed single- precision floating-point values in ymm2/m256 and stores the result in ymm1.
				
F2 0F 51 /r	SQRTSD xmm1, xmm2/m64	V	V	Computes square root of the low double- precision floating-point value in xmm2/m64 and stores the results in xmm1.
VEX.NDS.LIG.F2.0F.WIG 51 /r	VSQRTSD xmm1,xmm2, xmm3/m64	V	V	Computes square root of the low double- precision floating point value in xmm3/m64 and stores the results in xmm2. Also, upper double precision floating-point value (bits[127:64]) from xmm2 is copied to xmm1[127:64].
				
F3 0F 51 /r	SQRTSS xmm1, xmm2/m32	V	V	Computes square root of the low single- precision floating-point value in xmm2/m32 and stores the results in xmm1.
VEX.NDS.LIG.F3.0F.WIG 51	VSQRTSS xmm1, xmm2, xmm3/m32	V	V	Computes square root of the low single- precision floating-point value in xmm3/m32 and stores the results in xmm1. Also, upper single precision floating-point values (bits[127:32]) from xmm2 are copied to xmm1[127:32].
				
F9	STC	V	V	Set CF flag.
				
FD	STD	V	V	Set DF flag.
				
FB	STI	V	V	Set interrupt flag; external, maskable interrupts enabled at the end of the next instruction.
				
0F AE /3	STMXCSR m32	V	V	Store contents of MXCSR register to m32. 
VEX.LZ.0F.WIG AE /3	VSTMXCSR m32	V	V	Store contents of MXCSR register to m32.
				
AA	STOS m8	V	V	For legacy mode, store AL at address ES:(E)DI; For 64-bit mode store AL at address RDI or EDI.
AB	STOS m16	V	V	For legacy mode, store AX at address ES:(E)DI; For 64-bit mode store AX at address RDI or EDI.
AB	STOS m32	V	V	For legacy mode, store EAX at address ES:(E)DI; For 64-bit mode store EAX at address RDI or EDI.
REX.W+ AB	STOS m64	V	NE	Store RAX at address RDI or EDI.
AA	STOSB	V	V	For legacy mode, store AL at address ES:(E)DI; For 64-bit mode store AL at address RDI or EDI.
PREF.66+ AB	STOSW	V	V	For legacy mode, store AX at address ES:(E)DI; For 64-bit mode store AX at address RDI or EDI.
AB	STOSD	V	V	For legacy mode, store EAX at address ES:(E)DI; For 64-bit mode store EAX at address RDI or EDI.
REX.W+ AB	STOSQ	V	NE	Store RAX at address RDI or EDI.
				
0F 00 /1	STR r/m16	V	V	Stores segment selector from TR in r/m16.
				
2C ib	SUB AL, imm8	V	V	Subtract imm8 from AL.
2D iw	SUB AX, imm16	V	V	Subtract imm16 from AX.
2D id	SUB EAX, imm32	V	V	Subtract imm32 from EAX.
REX.W+ 2D id	SUB RAX, imm32	V	NE	Subtract imm32 sign-extended to 64-bits from RAX.
80 /5 ib	SUB r/m8, imm8	V	V	Subtract imm8 from r/m8.
REX+ 80 /5 ib	SUB r/m8, imm8	V	NE	Subtract imm8 from r/m8.
81 /5 iw	SUB r/m16, imm16	V	V	Subtract imm16 from r/m16.
81 /5 id	SUB r/m32, imm32	V	V	Subtract imm32 from r/m32.
REX.W+ 81 /5 id	SUB r/m64, imm32	V	NE	Subtract imm32 sign-extended to 64-bits from r/m64.
83 /5 ib	SUB r/m16, imm8	V	V	Subtract sign-extended imm8 from r/m16.
83 /5 ib	SUB r/m32, imm8	V	V	Subtract sign-extended imm8 from r/m32.
REX.W+ 83 /5 ib	SUB r/m64, imm8	V	NE	Subtract sign-extended imm8 from r/m64.
28 /r	SUB r/m8, r8	V	V	Subtract r8 from r/m8.
REX+ 28 /r	SUB r/m8, r8	V	NE	Subtract r8 from r/m8.
29 /r	SUB r/m16, r16	V	V	Subtract r16 from r/m16.
29 /r	SUB r/m32, r32	V	V	Subtract r32 from r/m32.
REX.W+ 29 /r	SUB r/m64, r32	V	NE	Subtract r64 from r/m64.
2A /r	SUB r8, r/m8	V	V	Subtract r/m8 from r8.
REX+ 2A /r	SUB r8, r/m8	V	NE	Subtract r/m8 from r8.
2B /r	SUB r16, r/m16	V	V	Subtract r/m16 from r16.
2B /r	SUB r32, r/m32	V	V	Subtract r/m32 from r32.
REX.W+ 2B /r	SUB r64, r/m64	V	NE	Subtract r/m64 from r64.
				
66 0F 5C /r	SUBPD xmm1, xmm2/m128	V	V	Subtract packed double-precision floating- point values in xmm2/m128 from xmm1.
VEX.NDS.128.66.0F.WIG 5C /r	VSUBPD xmm1, xmm2, xmm3/m128	V	V	Subtract packed double-precision floating- point values in xmm3/mem from xmm2 and stores result in xmm1.
VEX.NDS.256.66.0F.WIG 5C /r	VSUBPD ymm1, ymm2, ymm3/m256	V	V	Subtract packed double-precision floating- point values in ymm3/mem from ymm2 and stores result in ymm1.
				
0F 5C /r	SUBPS xmm1, xmm2/m128	V	V	Subtract packed single-precision floating-point values in xmm2/mem from xmm1.
VEX.NDS.128.0F.WIG 5C /r	VSUBPS xmm1, xmm2, xmm3/m128	V	V	Subtract packed single-precision floating-point values in xmm3/mem from xmm2 and stores result in xmm1.
VEX.NDS.256.0F.WIG 5C /r	VSUBPS ymm1, ymm2, ymm3/m256	V	V	Subtract packed single-precision floating-point values in ymm3/mem from ymm2 and stores result in ymm1.
				
F2 0F 5C /r	SUBSD xmm1, xmm2/m64	V	V	Subtracts the low double-precision floating- point values in xmm2/mem64 from xmm1.
VEX.NDS.LIG.F2.0F.WIG 5C /r	VSUBSD xmm1, xmm2, xmm3/m64	V	V	Subtract the low double-precision floating- point value in xmm3/mem from xmm2 and store the result in xmm1.
				
F3 0F 5C /r	SUBSS xmm1, xmm2/m32	V	V	Subtract the lower single-precision floating- point values in xmm2/m32 from xmm1.
VEX.NDS.LIG.F3.0F.WIG 5C /r	VSUBSS xmm1, xmm2, xmm3/m32	V	V	Subtract the low single-precision floating- point value in xmm3/mem from xmm2 and store the result in xmm1.
				
0F 01 F8	SWAPGS	V	I	Exchanges the current GS base register value with the value contained in MSR address C0000102H.
				
0F 05	SYSCALL	V	I	Fast call to privilege level 0 system procedures.
				
0F 34	SYSENTER	V	V	Fast call to privilege level 0 system procedures.
				
0F 35	SYSEXIT	V	V	Fast return to privilege level 3 user code.
REX.W+ 0F 35	SYSEXIT pw	V	V	Fast return to 64-bit mode privilege level 3 user code.
				
0F 07	SYSRET	V	I	Return to compatibility mode from fast system call
REX.W+ 0F 07	SYSRET pw	V	I	Return to 64-bit mode from fast system call
				
A8 ib	TEST AL, imm8	V	V	AND imm8 with AL; set SF, ZF, PF according to result.
A9 iw	TEST AX, imm16	V	V	AND imm16 with AX; set SF, ZF, PF according to result.
A9 id	TEST EAX, imm32	V	V	AND imm32 with EAX; set SF, ZF, PF according to result.
REX.W+ A9 id	TEST RAX, imm32	V	NE	AND imm32 sign-extended to 64-bits with RAX; set SF, ZF, PF according to result.
F6 /0 ib	TEST r/m8, imm8	V	V	AND imm8 with r/m8; set SF, ZF, PF according to result.
REX+ F6 /0 ib	TEST r/m8, imm8	V	NE	AND imm8 with r/m8; set SF, ZF, PF according to result.
F7 /0 iw	TEST r/m16, imm16	V	V	AND imm16 with r/m16; set SF, ZF, PF according to result.
F7 /0 id	TEST r/m32, imm32	V	V	AND imm32 with r/m32; set SF, ZF, PF according to result.
REX.W+ F7 /0 id	TEST r/m64, imm32	V	NE	AND imm32 sign-extended to 64-bits with r/m64; set SF, ZF, PF according to result.
84 /r	TEST r/m8, r8	V	V	AND r8 with r/m8; set SF, ZF, PF according to result.
REX+ 84 /r	TEST r/m8, r8	V	NE	AND r8 with r/m8; set SF, ZF, PF according to result.
85 /r	TEST r/m16, r16	V	V	AND r16 with r/m16; set SF, ZF, PF according to result.
85 /r	TEST r/m32, r32	V	V	AND r32 with r/m32; set SF, ZF, PF according to result.
REX.W+ 85 /r	TEST r/m64, r64	V	NE	AND r64 with r/m64; set SF, ZF, PF according to result.
				
66 0F 2E /r	UCOMISD xmm1, xmm2/m64	V	V	Compares (unordered) the low double- precision floating-point values in xmm1 and xmm2/m64 and set the EFLAGS accordingly.
VEX.LIG.66.0F.WIG 2E /r	VUCOMISD xmm1, xmm2/m64	V	V	Compare low double precision floating-point values in xmm1 and xmm2/mem64 and set the EFLAGS flags accordingly.
				
0F 2E /r	UCOMISS xmm1, xmm2/m32	V	V	Compare lower single-precision floating-point value in xmm1 register with lower single- precision floating-point value in xmm2/mem and set the status flags accordingly.
VEX.LIG.0F.WIG 2E /r	VUCOMISS xmm1, xmm2/m32	V	V	Compare low single precision floating-point values in xmm1 and xmm2/mem32 and set the EFLAGS flags accordingly.
				
0F 0B	UD2	V	V	Raise invalid opcode exception.
				
66 0F 15 /r	UNPCKHPD xmm1, xmm2/m128	V	V	Unpacks and Interleaves double-precision floating-point values from high quadwords of xmm1 and xmm2/m128.
VEX.NDS.128.66.0F.WIG 15 /r	VUNPCKHPD xmm1, xmm2, xmm3/m128	V	V	Unpacks and Interleaves double precision floating-point values from high quadwords of xmm2 and xmm3/m128.
VEX.NDS.256.66.0F.WIG 15 /r	VUNPCKHPD ymm1, ymm2, ymm3/m256	V	V	Unpacks and Interleaves double precision floating-point values from high quadwords of ymm2 and ymm3/m256.
				
0F 15 /r	UNPCKHPS xmm1, xmm2/m128	V	V	Unpacks and Interleaves single-precision floating-point values from high quadwords of xmm1 and xmm2/mem into xmm1.
VEX.NDS.128.0F.WIG 15 /r	VUNPCKHPS xmm1, xmm2, xmm3/m128	V	V	Unpacks and Interleaves single-precision floating-point values from high quadwords of xmm2 and xmm3/m128.
VEX.NDS.256.0F.WIG 15 /r	VUNPCKHPS ymm1, ymm2,ymm3/m256	V	V	Unpacks and Interleaves single-precision floating-point values from high quadwords of ymm2 and ymm3/m256.
				
66 0F 14 /r	UNPCKLPD xmm1, xmm2/m128	V	V	Unpacks and Interleaves double-precision floating-point values from low quadwords of xmm1 and xmm2/m128.
VEX.NDS.128.66.0F.WIG 14 /r	VUNPCKLPD xmm1, xmm2, xmm3/m128	V	V	Unpacks and Interleaves double precision floating-point values low high quadwords of xmm2 and xmm3/m128.
VEX.NDS.256.66.0F.WIG 14 /r	VUNPCKLPD ymm1, ymm2, ymm3/m256	V	V	Unpacks and Interleaves double precision floating-point values low high quadwords of ymm2 and ymm3/m256.
				
0F 14 /r	UNPCKLPS xmm1, xmm2/m128	V	V	Unpacks and Interleaves single-precision floating-point values from low quadwords of xmm1 and xmm2/mem into xmm1.
VEX.NDS.128.0F.WIG 14 /r	VUNPCKLPS xmm1, xmm2, xmm3/m128	V	V	Unpacks and Interleaves single-precision floating-point values from low quadwords of xmm2 and xmm3/m128.
VEX.NDS.256.0F.WIG 14 /r	VUNPCKLPS ymm1, ymm2,ymm3/m256	V	V	Unpacks and Interleaves single-precision floating-point values from low quadwords of ymm2 and ymm3/m256.
				
VEX.128.66.0F38.W0 18 /r	VBROADCASTSS xmm1, m32	I	V	Broadcast single-precision floating-point element in mem to four locations in xmm1.
VEX.256.66.0F38.W0 18 /r	VBROADCASTSS ymm1, m32	V	V	Broadcast single-precision floating-point element in mem to eight locations in ymm1.
VEX.256.66.0F38.W0 19 /r	VBROADCASTSD ymm1, m64	V	V	Broadcast double-precision floating-point element in mem to four locations in ymm1.
VEX.256.66.0F38.W0 1A /r	VBROADCASTF128 ymm1, m128	V	V	Broadcast 128 bits of floating-point data in mem to low and high 128-bits in ymm1.
				
VEX.256.66.0F38.W0 13 /r	VCVTPH2PS ymm1, xmm2/m128	V	V	Convert eight packed half precision (16-bit) floating-point values in xmm2/m128 to packed single-precision floating-point value in ymm1.
VEX.128.66.0F38.W0 13 /r	VCVTPH2PS xmm1, xmm2/m64	V	V	Convert four packed half precision (16-bit) floating-point values in xmm2/m64 to packed single-precision floating-point value in xmm1.
				
VEX.256.66.0F3A.W0 1D /r ib	VCVTPS2PH xmm1/m128, ymm2, imm8	V	V	Convert eight packed single-precision floating-point value in ymm2 to packed half-precision (16-bit) floating-point value in xmm1/mem. Imm8 provides rounding controls.
VEX.128.66.0F3A.W0.1D /r ib	VCVTPS2PH xmm1/m64, xmm2, imm8	V	V	Convert four packed single-precision float- ing-point value in xmm2 to packed half- precision (16-bit) floating-point value in xmm1/mem. Imm8 provides rounding con- trols.
				
0F 00 /4	VERR r/m16	V	V	Set ZF=1 if segment specified with r/m16 can be read.
0F 00 /5	VERW r/m16	V	V	Set ZF=1 if segment specified with r/m16 can be written.
				
VEX.256.66.0F3A.W0 19 /r ib	VEXTRACTF128 xmm1/m128, ymm2, imm8	V	V	Extract 128 bits of packed floating-point values from ymm2 and store results in xmm1/mem.
				
VEX.NDS.256.66.0F3A.W0 18 /r ib	VINSERTF128 ymm1, ymm2, xmm3/m128, imm8	V	V	Insert a single precision floating-point value selected by imm8 from xmm3/m128 into ymm2 at the specified destination element specified by imm8 and zero out destination elements in ymm1 as indicated in imm8.
				
VEX.NDS.128.66.0F38.W0 2C /r	VMASKMOVPS xmm1, xmm2, m128	V	V	Conditionally load packed single-precision values from m128 using mask in xmm2 and store in xmm1.
VEX.NDS.256.66.0F38.W0 2C /r	VMASKMOVPS ymm1, ymm2, m256	V	V	Conditionally load packed single-precision values from m256 using mask in ymm2 and store in ymm1.
VEX.NDS.128.66.0F38.W0 2D /r	VMASKMOVPD xmm1, xmm2, m128	V	V	Conditionally load packed double-precision values from m128 using mask in xmm2 and store in xmm1.
VEX.NDS.256.66.0F38.W0 2D /r	VMASKMOVPD ymm1, ymm2, m256	V	V	Conditionally load packed double-precision values from m256 using mask in ymm2 and store in ymm1.
VEX.NDS.128.66.0F38.W0 2E /r	VMASKMOVPS m128, xmm1, xmm2	V	V	Conditionally store packed single-precision values from xmm2 using mask in xmm1.
VEX.NDS.256.66.0F38.W0 2E /r	VMASKMOVPS m256, ymm1, ymm2	V	V	Conditionally store packed single-precision values from ymm2 using mask in ymm1.
VEX.NDS.128.66.0F38.W0 2F /r	VMASKMOVPD m128, xmm1, xmm2	V	V	Conditionally store packed double-precision values from xmm2 using mask in xmm1.
VEX.NDS.256.66.0F38.W0 2F /r	VMASKMOVPD m256, ymm1, ymm2	V	V	Conditionally store packed double-precision values from ymm2 using mask in ymm1.
				
VEX.NDS.128.66.0F38.W0 0D /r	VPERMILPD xmm1, xmm2, xmm3/m128	V	V	Permute double-precision floating-point values in xmm2 using controls from xmm3/mem and store result in xmm1.
VEX.NDS.256.66.0F38.W0 0D /r	VPERMILPD ymm1, ymm2, ymm3/m256	V	V	Permute double-precision floating-point values in ymm2 using controls from ymm3/mem and store result in ymm1.
VEX.128.66.0F3A.W0 05 /r ib	VPERMILPD xmm1, xmm2/m128, imm8	V	V	Permute double-precision floating-point values in xmm2/mem using controls from imm8.
VEX.256.66.0F3A.W0 05 /r ib	VPERMILPD ymm1, ymm2/m256, imm8	V	V	Permute double-precision floating-point values in ymm2/mem using controls from imm8.
				
VEX.NDS.128.66.0F38.W0 0C /r	VPERMILPS xmm1, xmm2, xmm3/m128	V	V	Permute single-precision floating-point values in xmm2 using controls from xmm3/mem and store result in xmm1.
VEX.128.66.0F3A.W0 04 /r ib	VPERMILPS xmm1, xmm2/m128, imm8	V	V	Permute single-precision floating-point values in xmm2/mem using controls from imm8 and store result in xmm1.
VEX.NDS.256.66.0F38.W0 0C /r	VPERMILPS ymm1, ymm2, ymm3/m256	V	V	Permute single-precision floating-point values in ymm2 using controls from ymm3/mem and store result in ymm1.
VEX.256.66.0F3A.W0 04 /r ib	VPERMILPS ymm1, ymm2/m256, imm8	V	V	Permute single-precision floating-point values in ymm2/mem using controls from imm8 and store result in ymm1.
				
VEX.NDS.256.66.0F3A.W0 06 /r ib	VPERM2F128 ymm1, ymm2, ymm3/m256, imm8	V	V	Permute 128-bit floating-point fields in ymm2 and ymm3/mem using controls from imm8 and store result in ymm1.
				
VEX.128.66.0F38.W0 0E /r	VTESTPS xmm1, xmm2/m128	V	V	Set ZF and CF depending on sign bit AND and ANDN of packed single-precision floating- point sources.
VEX.256.66.0F38.W0 0E /r	VTESTPS ymm1, ymm2/m256	V	V	Set ZF and CF depending on sign bit AND and ANDN of packed single-precision floating- point sources.
VEX.128.66.0F38.W0 0F /r	VTESTPD xmm1, xmm2/m128	V	V	Set ZF and CF depending on sign bit AND and ANDN of packed double-precision floating- point sources.
VEX.256.66.0F38.W0 0F /r	VTESTPD ymm1, ymm2/m256	V	V	Set ZF and CF depending on sign bit AND and ANDN of packed double-precision floating- point sources.
				
VEX.256.0F.WIG 77	VZEROALL	V	V	Zero all YMM registers.
				
VEX.128.0F.WIG 77	VZEROUPPER	V	V	Zero upper 128 bits of all YMM registers.
				
9B	WAIT	V	V	Check pending unmasked floating-point exceptions.
9B	FWAIT	V	V	Check pending unmasked floating-point exceptions.
				
0F 09	WBINVD	V	V	Write back and flush Internal caches; initiate writing-back and flushing of external caches.
				
F3 0F AE /2	WRFSBASE r32	V	I	Load the FS base address with the 32-bit value in the source register.
REX.W+ F3 0F AE /2	WRFSBASE r64	V	I	Load the FS base address with the 64-bit value in the source register.
F3 0F AE /3	WRGSBASE r32	V	I	Load the GS base address with the 32-bit value in the source register.
REX.W+ F3 0F AE /3	WRGSBASE r64	V	I	Load the GS base address with the 64-bit value in the source register.
				
0F 30	WRMSR	V	V	Write the value in EDX:EAX to MSR specified by ECX.
				
0F C0 /r	XADD r/m8, r8	V	V	Exchange r8 and r/m8; load sum into r/m8.
REX+ 0F C0 /r	XADD r/m8, r8	V	NE	Exchange r8 and r/m8; load sum into r/m8.
0F C1 /r	XADD r/m16, r16	V	V	Exchange r16 and r/m16; load sum into r/m16.
0F C1 /r	XADD r/m32, r32	V	V	Exchange r32 and r/m32; load sum into r/m32.
REX.W+ 0F C1 /r	XADD r/m64, r64	V	NE	Exchange r64 and r/m64; load sum into r/m64.
				
90 +rw	XCHG AX, r16	V	V	Exchange r16 with AX.
90 +rw	XCHG r16, AX	V	V	Exchange AX with r16.
90 +rd	XCHG EAX, r32	V	V	Exchange r32 with EAX.
REX.W+ 90 +rd	XCHG RAX, r64	V	NE	Exchange r64 with RAX.
90 +rd	XCHG r32, EAX	V	V	Exchange EAX with r32.
REX.W+ 90 +rd	XCHG r64, RAX	V	NE	Exchange RAX with r64.
86 /r	XCHG r/m8, r8	V	V	Exchange r8 (byte register) with byte from r/m8.
REX+ 86 /r	XCHG r/m8, r8	V	NE	Exchange r8 (byte register) with byte from r/m8.
86 /r	XCHG r8, r/m8	V	V	Exchange byte from r/m8 with r8 (byte register).
REX+ 86 /r	XCHG r8, r/m8	V	NE	Exchange byte from r/m8 with r8 (byte register).
87 /r	XCHG r/m16, r16	V	V	Exchange r16 with word from r/m16.
87 /r	XCHG r16, r/m16	V	V	Exchange word from r/m16 with r16.
